   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.4939,            0.066667,             0.54167,             0.38523,             0.17229,            0.011441,           0.0045885,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.068143,             0.52355,             0.13579,              13.498,             0.36186,             0.57864,              8.3617,          0.00040712,             0.50676,             0.57656,             0.52665,             0.61745,             0.67174,                   3
               0.025,             0.53333,             0.20146,            0.020146,             0.21121,           0.0069074,            0.006498,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.039816,             0.43534,             0.25718,              5.2107,             0.51318,             0.35185,             0.95451,          0.00047142,             0.48822,             0.59815,             0.64065,            0.048777,             0.71528,                   3
             0.66667,             0.19796,             0.58128,             0.42061,             0.16988,           0.0092303,           0.0061815,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.013966,             0.75885,             0.12007,              42.121,             0.42351,             0.50186,              1.4236,          0.00090485,             0.30744,             0.54955,             0.38783,             0.88306,             0.18218,                   3
             0.35721,                 0.6,             0.31669,             0.17408,              0.1823,           0.0075775,            0.012782,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.076281,            0.031048,             0.28215,              25.646,             0.61549,                0.77,              7.5103,          0.00072178,             0.99588,             0.89394,              0.2863,             0.39559,             0.21384,                   3
            0.007874,                 0.2,            0.037562,            0.014567,             0.19707,           0.0091702,            0.012309,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.096556,            0.062577,              0.4277,              0.5036,             0.66342,             0.38979,              2.6495,          0.00090016,            0.095275,               0.858,             0.96859,            0.056101,             0.13735,                   3
           0.0026455,            0.066667,           0.0029832,          0.00029832,             0.21097,           0.0073615,            0.019077,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.037963,             0.35207,             0.81626,              36.769,             0.43568,             0.01549,             0.93539,          0.00095667,             0.40098,              0.5445,            0.096877,             0.69734,             0.47053,                   3
            0.021654,                 0.6,            0.090944,            0.045792,             0.17682,            0.014044,           0.0065002,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.073529,             0.84842,             0.56183,              19.846,            0.060963,             0.65532,              6.2146,          0.00073624,             0.57344,             0.57479,             0.94939,             0.83772,             0.96618,                   3
             0.36777,             0.57251,             0.39352,             0.23856,             0.17074,            0.011365,           0.0080933,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.033106,            0.023422,             0.60927,              32.943,             0.82044,             0.22056,              8.2932,          0.00093712,             0.41627,             0.62755,             0.57501,           0.0062289,             0.07628,                   3
            0.023572,                 0.6,             0.16576,            0.095174,             0.18165,            0.010932,           0.0028247,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,           0.0035883,            0.056481,             0.79851,               30.96,           0.0094389,             0.48245,              9.3321,          0.00059651,              0.6226,             0.51142,             0.45854,             0.74055,             0.14721,                   3
           0.0083333,            0.066667,           0.0056964,           0.0011393,             0.21073,           0.0070492,           0.0055183,              0.0015,                0.05,               0.937,              0.0005,                   6,                 0.8,                 0.1,               0.125,                 0.5,                   1,                   1,                   1,                 0.3,                   4,                   0,            0.099679,             0.58502,             0.44446,               37.13,           0.0032054,             0.26252,              1.3635,          2.3509e-05,             0.30127,             0.72617,             0.70356,             0.94424,             0.37042,                   3
